id,equation,value,se,lb,ub
BIOMASS,1216*AcCoA.c + 295.6*ALA + 232.4*ASP + 114.7*CO2 + 71.43*CYS + 57.14*DHAP + 142.4*G6P + 158.6*GLN + 190.1*GLU + 324.2*GLY + 125.6*MEETHF + 114.7*P5P + 217.2*SER -> biomass,0.0168,4.45E-04,0.0161,0.0175
GLUT,GLC.x -> GLC,441.4838,2.1773,426.162,457.6836
PYRR,PYR.x -> PYR.c,62.0794,1.5458,58.2634,65.9636
MCT net,LAC <-> LAC.x,890.6219,3.4907,862.1993,9.25E+02
MCT exch,LAC <-> LAC.x,1.52E+03,1.2265,1.35E+03,2.41E+03
ALAR,ALA -> ALA.x,0.584,0.2966,0.0011,1.1634
GLNR,GLN.x -> GLN,14.3175,0.3681,12.5809,19.4121
GLUR net,GLU <-> GLU.x,7.5528,0.3291,6.8818,8.1542
GLUR exch,GLU <-> GLU.x,1.54,0.2543,1.1085,2.5352
ASPR,ASP -> ASP.x,1.0813,0.3672,0.4169,1.6945
HK,GLC -> G6P,441.4838,2.1773,426.162,457.6836
PGI net,G6P <-> F6P,422.8807,7.1918,404.1227,439.6313
PGI exch,G6P <-> F6P,2.46E+05,3.5071,0.00E+00,Inf
PFK,F6P -> FBP,432.4059,1.8652,416.5667,449.3901
ALDO net,FBP <-> DHAP + GAP,432.4059,1.8652,416.5667,449.3901
ALDO exch,FBP <-> DHAP + GAP,319.9293,2.5042,279.0923,360.0785
TPI net,DHAP <-> GAP,431.4468,1.8649,414.7435,447.8056
TPI exch,DHAP <-> GAP,1.70E+03,3.5331,1.06E+03,3.06E+03
GAPDH net,GAP <-> 3PG,8.69E+02,2.8157,834.6758,9.03E+02
GAPDH exch,GAP <-> 3PG,1.00E-07,2.4978,0,238.9357
ENO,3PG -> PEP,8.68E+02,2.8149,835.5646,9.00E+02
PK,PEP -> PYR.c,8.78E+02,3.7498,836.0612,9.21E+02
LDH net,PYR.c <-> LAC,890.6219,3.4907,862.1993,9.25E+02
LDH exch,PYR.c <-> LAC,4.80E+00,4.2878,0.00E+00,3.51E+02
GPT1 net,PYR.c <-> ALA,5.5475,3.1268,-907.8314,6.1277
GPT1 exch,PYR.c <-> ALA,8.32E+02,2.0206,0,905.8423
GPT2 net,PYR.m <-> ALA,-0.0024,3.1492,-32.2132,911.0969
GPT2 exch,PYR.m <-> ALA,1.28E-04,3.0147,0,NaN
G6PD,G6P -> P5P + CO2,1.62E+01,8.7222,4.4143,28.9368
TK1 net,P5P + P5P <-> S7P + GAP,4.7626,2.9072,-0.1215,9.6184
TK1 exch,P5P + P5P <-> S7P + GAP,1.47E+02,2.5977,6.67E+01,259.8883
TA net,S7P + GAP <-> F6P + E4P,4.7626,2.9072,-0.1215,9.6184
TA exch,S7P + GAP <-> F6P + E4P,2.35E-04,3.7713,0,7.5446
TK2 net,P5P + E4P <-> F6P + GAP,4.7626,2.9072,-0.1215,9.6184
TK2 exch,P5P + E4P <-> F6P + GAP,9.05E+00,2.3376,4.0991,14.2516
PYRT,PYR.c -> PYR.m,44.2208,3.0824,38.2304,958.1639
PC,PYR.m + CO2 -> OAC,13.7272,0.9089,9.8167,26.9003
PEPCK,OAC -> PEP + CO2,9.6555,3.4441,0,26.0159
ME2,MAL -> PYR.m + CO2,1.00E-07,0.952,0,22.4847
ME1,MAL -> PYR.c + CO2,8.71E-05,3.256,0,25.2464
PDH,PYR.m -> AcCoA.m + CO2,30.496,1.4605,28.6271,52.45
FAO,FAO -> AcCoA.m,6.58E-06,0.8538,0,0.7732
GLDH net,GLU <-> AKG,0.9106,0.4008,-0.6161,7.2684
GLDH exch,GLU <-> AKG,3.78E+02,3.5138,1.93E+02,1.94E+03
GLS net,GLN <-> GLU,11.6551,0.3578,10.0642,16.9927
GLS exch,GLN <-> GLU,1.00E-07,0.2116,0,0.3836
CS,AcCoA.m + OAC -> CIT,30.496,1.4137,28.7843,50.8531
IDH net,CIT <-> AKG + CO2,10.0905,0.3972,8.7476,14.0628
IDH exch,CIT <-> AKG + CO2,2.5169,0.3453,1.8039,4.4973
OGDH,AKG -> SUC + CO2,11.0012,0.6177,7.874,20.1735
SDH net,SUC <-> FUM,11.0012,0.6177,7.874,20.1735
SDH exch,SUC <-> FUM,7.60E+01,2.5709,25.6678,Inf
FH net,FUM <-> MAL,11.0012,0.6177,7.874,20.1735
FH exch,FUM <-> MAL,5.05E+05,2.7087,3.06E+02,Inf
MDH net,MAL <-> OAC,31.4065,3.3264,26.1747,57.0055
MDH exch,MAL <-> OAC,1.33E+02,2.2598,72.233,3.25E+02
GOT net,OAC <-> ASP,4.9823,0.3812,4.3187,5.6357
GOT exch,OAC <-> ASP,4.42E+01,3.2323,0,Inf
ACL,CIT -> AcCoA.c + MAL,20.4054,1.4411,19.5095,37.1026
LIPS,AcCoA.c -> lipid,1.00E-07,1.5521,0,16.8481
SERR,SER.x -> SER,5.4868,0.3101,4.9923,6.0646
PST,3PG -> SER,0.2424,0.0825,0.1344,35.7122
SHT net,SER <-> GLY + MEETHF,3.9051,0.1214,3.7078,4.1011
SHT exch,SER <-> GLY + MEETHF,6.07E-07,1.8732,0,332.3876
CYST net,SER <-> CYS,-2.1046,0.4963,-2.9719,-1.4445
CYST exch,SER <-> CYS,1.46E-02,1.9341,0,Inf
SD,SER -> PYR.c,0.2824,0.639,0,1.4703
GLYS,CO2 + MEETHF -> GLY,1.7967,0.0819,1.6556,1.9277
CYSR,CYX.x -> CYS + CYS,1.6518,0.248,1.3162,2.0847
GLYR,GLY -> GLY.x,0.2603,0.1381,0.02,0.492
cPYR,0*PYR.c -> PYR.ms,0.1416,3.5338,0,1
mPYR,0*PYR.m -> PYR.ms,8.58E-01,3.5338,0,1
sPYR,PYR.ms -> PYR.fix,1,0,1,1
