Pathway,NES
E2F TARGETS,2.8937588104126677
G2M CHECKPOINT,2.5622034712506654
HYPOXIA,2.2401160713383144
MYC TARGETS V1,2.230823175438116
GLYCOLYSIS,1.853035782445612
SPERMATOGENESIS,1.7238921054077117
DNA REPAIR,1.6524764059595423
MITOTIC SPINDLE,1.5985409624890548
MTORC1 SIGNALING,1.5718253886346976
ESTROGEN RESPONSE LATE,-1.4568773691743988
UV RESPONSE UP,-1.4895460854254847
APOPTOSIS,-1.5040502176101997
IL2 STAT5 SIGNALING,-1.507201656041256
COMPLEMENT,-1.5521706583077197
NOTCH SIGNALING,-1.5601611317929642
BILE ACID METABOLISM,-1.58116523503059
TNFA SIGNALING VIA NFKB,-1.6409015294982103
P53 PATHWAY,-1.6462639065600524
UNFOLDED PROTEIN RESPONSE,-1.6492236247888414
ALLOGRAFT REJECTION,-1.6731062614641026
UV RESPONSE DN,-1.6881536130549963
PANCREAS BETA CELLS,-1.6938368744098706
ESTROGEN RESPONSE EARLY,-1.7109445722789343
APICAL SURFACE,-1.742601857353477
INTERFERON GAMMA RESPONSE,-1.752197221664912
MYOGENESIS,-1.7676214352899797
XENOBIOTIC METABOLISM,-1.8412319016881387
INTERFERON ALPHA RESPONSE,-1.8507941848335465
COAGULATION,-1.8575417164138421
INFLAMMATORY RESPONSE,-1.883181191394015
ANGIOGENESIS,-1.8990017038317015
APICAL JUNCTION,-1.9768121620505599
IL6 JAK STAT3 SIGNALING,-2.176491890444902
EPITHELIAL MESENCHYMAL TRANSITION,-2.43234412643452
